Type,Price,Location,Area,Pieces,Rooms,Bathrooms,Condition,Air conditioning,Garden,Heating,Furnished,Equipped kitchen,Double glazing,Security system,Terrace,Elevator,Satellite dish,Oven,Mountains views,Internet,Flooring,Garage,Pool,Concierge,Reinforced Door,Microwave,Fridge,TV,Washing machine,Sea views,Stage,Age,uknown
apartment,"3,500 TND",La Soukra inLa Soukra,,4 Pieces,3 Rooms,1 Bathroom,New,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,,Less than 1 year,
apartment,"4,500 TND",Gammarth inLa Marsa,,5 Pieces,4 Rooms,2 Bathrooms,Good condition,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,,Less than 1 year,
house,"7,500 TND",Carthage inCarthage,,4 Pieces,2 Rooms,2 Bathrooms,Good condition,yes,no,yes,yes,yes,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,,10-20 years old,
apartment,"3,500 TND",La Marsa inLa Marsa,,3 Pieces,2 Rooms,1 Bathroom,New,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,,1-5 years old,
house,"6,000 TND",La Marsa inLa Marsa,,4 Pieces,3 Rooms,2 Bathrooms,Good condition,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,,1-5 years old,
house,"15,000 TND",Carthage inCarthage,,6 Pieces,5 Rooms,5 Bathrooms,Good condition,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,yes,,5-10 years old,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartment,"1,400 TND",Les Berges Du Lac 1 inLa Marsa,95m²,3 Pieces,2 Rooms,1 Bathroom,Good condition,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,1ststage,5-10 years old,
